JOKER 6 271 200 271
RECT 156 105 156 133 2
RECT 169 244 189 244 2
RECT 43 130 75 149 0
RECT 17 59 45 59 2
RECT 22 268 46 268 2
RECT 84 127 84 136 2
RECT 43 209 43 227 2
RECT 67 217 67 240 2
RECT 3 24 29 24 2
RECT 220 21 220 52 2
RECT 66 59 93 59 2
RECT 113 163 118 166 5
RECT 116 127 136 127 2
RECT 109 110 114 114 3
RECT 220 66 220 93 2
RECT 30 27 49 27 2
RECT 139 128 139 143 2
RECT 12 54 21 69 0
RECT 13 100 32 100 2
RECT 40 158 40 170 2
RECT 206 195 215 207 0
RECT 197 103 223 103 2
RECT 220 4 223 27 0
RECT 142 268 172 268 2
RECT 60 43 60 57 2
RECT 105 115 118 120 3
RECT 61 24 75 24 2
RECT 64 209 75 222 0
RECT 80 27 99 27 2
RECT 34 1 34 7 1
RECT 41 45 52 68 0
RECT 136 145 136 156 2
RECT 22 279 28 283 5
RECT 140 251 167 251 2
RECT 12 213 14 215 7
RECT 134 2 134 14 1
RECT 107 80 121 101 0
RECT 90 227 102 227 2
RECT 101 155 122 155 2
RECT 61 203 79 203 2
RECT 90 49 110 64 0
RECT 223 78 223 99 2
RECT 193 276 193 287 0
RECT 67 106 67 134 2
RECT 112 76 144 76 2
RECT 5 179 35 179 2
RECT 139 74 145 77 0
RECT 208 27 219 27 2
RECT 8 207 14 214 7
RECT 143 129 157 148 0
RECT 22 76 30 76 2
RECT 163 110 163 116 2
RECT 3 60 3 91 2
RECT 180 179 212 179 2
RECT 124 83 139 83 2
RECT 10 202 20 207 0
RECT 0 47 0 52 2
RECT 185 196 207 196 2
RECT 156 220 156 241 2
RECT 8 151 23 151 2
RECT 65 129 78 144 0
RECT 67 83 67 94 2
RECT 175 251 200 251 2
RECT 138 58 148 85 0
RECT 92 84 106 113 0
RECT 188 128 208 128 2
RECT 128 244 155 244 2
RECT 200 185 207 200 0
RECT 10 50 10 54 7
RECT 17 44 46 44 2
RECT 129 238 134 249 0
RECT 60 196 91 196 2
RECT 104 223 108 226 0
RECT 3 228 3 252 2
RECT 170 251 197 251 2
RECT 174 76 201 76 2
RECT 169 68 181 81 0
RECT 134 3 139 6 1
RECT 52 251 57 251 2
RECT 38 274 41 286 5
RECT 93 134 96 135 2
RECT 36 286 41 287 0
RECT 91 3 100 3 1
RECT 108 78 108 109 2
RECT 109 205 115 219 5
RECT 44 43 53 52 0
RECT 110 218 116 233 0
RECT 156 155 156 178 2
RECT 0 50 0 81 2
RECT 3 131 28 131 2
RECT 28 227 50 242 0
RECT 38 281 44 283 5
RECT 108 46 108 59 2
RECT 183 108 183 134 2
RECT 115 162 129 165 0
RECT 17 37 21 57 0
RECT 204 128 223 128 2
RECT 133 59 162 59 2
RECT 184 284 198 287 0
RECT 17 27 26 27 2
RECT 165 127 183 149 0
RECT 221 100 223 121 0
RECT 183 149 183 164 2
RECT 104 78 112 81 0
RECT 174 268 189 268 2
RECT 67 156 67 161 2
RECT 77 268 99 268 2
RECT 31 128 42 128 2
RECT 0 30 0 51 2
RECT 223 44 223 53 2
RECT 178 145 183 151 0
RECT 183 103 200 103 2
RECT 35 285 50 285 0
RECT 109 172 134 172 2
RECT 3 251 3 278 2
RECT 95 133 97 139 2
RECT 60 85 60 89 2
RECT 3 264 7 277 0
RECT 121 142 135 145 7
RECT 89 164 107 166 5
RECT 185 83 197 83 2
RECT 131 9 134 9 1
RECT 111 27 138 27 2
RECT 53 106 80 108 0
RECT 51 195 61 216 0
RECT 163 93 163 111 2
RECT 19 278 22 280 0
RECT 97 157 97 175 0
RECT 131 135 131 138 1
RECT 82 124 89 124 2
RECT 216 148 221 148 2
RECT 156 79 156 102 2
RECT 3 203 3 211 2
RECT 102 1 103 8 1
RECT 122 134 128 143 7
RECT 66 251 93 251 2
RECT 148 27 179 27 2
RECT 115 85 115 115 2
RECT 91 245 113 264 0
RECT 109 135 118 140 6
RECT 40 106 40 132 2
RECT 134 0 139 2 1
RECT 78 0 78 5 1
RECT 208 151 223 151 2
RECT 220 50 220 80 2
RECT 108 179 108 207 2
RECT 115 130 123 135 0
RECT 136 124 136 144 2
RECT 139 123 139 146 2
RECT 135 139 135 147 0
RECT 22 273 25 284 5
RECT 145 101 160 102 0
RECT 191 100 209 100 2
RECT 220 176 220 196 2
RECT 88 179 104 179 2
RECT 45 268 76 268 2
RECT 166 148 181 179 0
RECT 187 205 187 211 2
RECT 3 27 3 52 2
RECT 0 188 0 207 2
RECT 50 30 60 46 0
RECT 15 179 44 179 2
RECT 142 0 152 0 1
RECT 60 215 60 240 2
RECT 174 268 199 268 2
RECT 8 49 13 50 7
RECT 51 212 61 221 0
RECT 9 100 33 100 2
RECT 78 27 107 27 2
RECT 98 220 102 220 2
RECT 146 203 148 203 2
RECT 16 199 35 222 0
RECT 108 26 108 52 2
RECT 153 27 184 27 2
RECT 106 138 117 138 1
RECT 71 3 77 3 1
RECT 67 151 67 171 2
RECT 140 203 157 203 2
RECT 7 128 34 128 2
RECT 42 0 47 0 1
RECT 32 278 38 279 0
RECT 132 160 135 161 5
RECT 100 159 104 169 0
RECT 19 27 41 27 2
RECT 42 174 58 200 0
RECT 220 215 220 218 2
RECT 98 160 113 160 5
RECT 95 7 104 22 0
RECT 53 24 61 24 2
RECT 161 65 180 77 0
RECT 91 47 91 58 2
RECT 190 27 196 27 2
RECT 15 148 34 148 2
RECT 37 273 37 284 5
RECT 25 6 41 6 1
RECT 139 222 139 226 2
RECT 94 131 109 132 0
RECT 90 186 101 216 0
RECT 25 176 39 176 2
RECT 23 226 48 243 0
RECT 9 27 23 27 2
RECT 107 26 123 28 0
RECT 197 148 223 148 2
RECT 38 127 42 134 0
RECT 219 168 223 181 0
RECT 220 73 220 102 2
RECT 144 210 166 220 0
RECT 104 202 127 205 0
RECT 60 95 60 115 2
RECT 107 220 136 220 2
RECT 87 127 103 127 2
RECT 124 41 133 71 0
RECT 47 251 62 251 2
RECT 220 244 220 265 2
RECT 111 205 115 216 5
RECT 94 106 108 110 0
RECT 173 24 202 24 2
RECT 0 238 0 250 2
RECT 43 200 43 211 2
RECT 163 113 163 130 2
RECT 115 27 133 27 2
RECT 14 220 19 220 2
RECT 96 155 96 178 0
RECT 87 139 87 144 2
RECT 151 100 156 100 2
RECT 121 6 133 6 1
RECT 191 44 193 44 2
RECT 3 83 3 101 2
RECT 163 218 163 244 2
RECT 139 214 165 221 0
RECT 163 167 163 183 2
RECT 140 177 167 183 0
RECT 107 176 128 180 0
RECT 139 2 170 9 0
RECT 83 24 88 24 2
RECT 101 268 107 268 2
RECT 5 100 15 100 2
RECT 72 24 95 24 2
RECT 1 176 18 176 2
RECT 60 3 72 13 0
RECT 136 44 156 44 2
RECT 139 134 139 148 2
RECT 155 243 168 248 0
RECT 220 103 223 113 0
RECT 34 24 52 24 2
RECT 89 157 105 159 0
RECT 118 124 136 124 2
RECT 78 140 86 158 0
RECT 61 251 64 251 2
RECT 206 131 220 131 2
RECT 106 114 115 122 3
RECT 196 27 218 27 2
RECT 133 24 146 24 2
RECT 112 140 115 145 6
RECT 179 27 189 27 2
RECT 1 157 2 180 0
RECT 12 48 15 55 7
RECT 82 6 98 6 1
RECT 54 10 55 15 1
RECT 33 1 33 5 1
RECT 22 151 38 151 2
RECT 105 139 114 142 6
RECT 43 165 43 177 2
RECT 137 152 154 154 0
RECT 187 59 193 59 2
RECT 0 201 0 225 2
RECT 104 158 115 162 0
RECT 128 239 128 264 0
RECT 135 153 144 168 0
RECT 42 39 59 51 0
RECT 0 229 0 249 2
RECT 88 6 89 13 0
RECT 111 109 112 110 3
RECT 107 81 115 84 0
RECT 38 148 41 148 2
RECT 115 233 115 254 2
RECT 115 250 129 258 0
RECT 163 149 163 163 2
RECT 94 136 103 137 1
RECT 153 24 185 24 2
RECT 28 244 52 244 2
RECT 180 93 180 117 2
RECT 162 34 166 63 0
RECT 179 75 183 102 0
RECT 4 220 24 220 2
RECT 43 108 43 130 2
RECT 115 106 129 107 0
RECT 85 0 85 8 1
RECT 19 201 25 220 0
RECT 43 283 56 286 0
RECT 87 139 87 150 2
RECT 7 205 7 216 0
RECT 211 49 214 55 7
RECT 122 0 123 14 1
RECT 129 2 129 5 1
RECT 96 58 124 66 0
RECT 107 155 132 155 2
RECT 130 100 158 100 2
RECT 114 7 136 8 0
RECT 195 24 217 24 2
RECT 113 127 119 134 0
RECT 180 215 180 230 2
RECT 179 229 210 230 0
RECT 72 107 91 107 2
RECT 130 94 134 119 0
RECT 183 128 203 128 2
RECT 6 100 36 100 2
RECT 8 204 32 207 0
RECT 88 220 110 220 2
RECT 62 44 86 44 2
RECT 97 155 121 155 2
RECT 101 133 103 137 0
RECT 180 118 180 137 2
RECT 164 130 189 139 0
RECT 125 0 146 0 1
RECT 169 226 198 234 0
RECT 49 15 73 15 0
RECT 103 133 109 133 0
RECT 14 47 34 49 0
RECT 90 98 90 115 0
RECT 180 152 180 154 2
RECT 146 102 162 106 0
RECT 67 149 67 179 2
RECT 10 235 21 257 0
RECT 3 172 3 203 2
RECT 0 268 20 268 2
RECT 18 6 25 11 0
RECT 2 151 7 178 0
RECT 123 9 129 13 0
RECT 154 100 157 100 0
RECT 118 163 138 166 0
RECT 2 274 6 282 0
RECT 123 135 125 137 1
RECT 43 178 74 184 0
RECT 90 90 98 121 0
RECT 108 112 114 114 1
RECT 14 131 30 131 2
RECT 80 114 83 139 0
RECT 39 280 45 280 5
RECT 44 282 71 287 0
RECT 91 124 104 124 2
RECT 0 177 0 209 2
RECT 84 0 84 7 1
RECT 67 7 85 17 0
RECT 33 76 40 76 2
RECT 180 45 180 51 2
RECT 215 190 217 218 0
RECT 45 276 65 287 0
RECT 121 139 127 142 7
RECT 104 162 111 164 5
RECT 65 133 70 149 0
RECT 99 260 100 260 7
RECT 73 64 85 94 0
RECT 22 7 50 16 0
RECT 213 101 223 101 0
RECT 183 44 200 44 2
RECT 87 132 87 150 2
RECT 28 282 32 287 0
RECT 214 49 215 54 7
RECT 123 3 125 3 0
RECT 180 141 180 172 2
RECT 128 27 155 27 2
RECT 135 0 136 10 0
RECT 178 138 185 147 0
RECT 44 272 58 276 0
RECT 188 203 202 203 2
RECT 67 236 67 243 2
RECT 84 122 84 146 2
RECT 90 3 98 5 1
RECT 193 59 196 59 2
RECT 208 220 223 220 2
RECT 219 27 221 28 0
RECT 180 203 180 209 2
RECT 43 130 43 162 0
RECT 163 131 181 149 0
RECT 18 220 19 246 0
RECT 180 59 200 59 2
RECT 109 111 111 115 3
RECT 25 83 41 83 2
RECT 132 140 134 141 7
RECT 209 131 223 131 2
RECT 112 143 114 146 6
RECT 81 113 93 122 0
RECT 71 58 95 58 0
RECT 221 212 222 237 0
RECT 209 49 212 52 7
RECT 0 99 3 103 0
RECT 168 57 181 64 0
RECT 4 220 4 233 0
RECT 194 206 209 209 0
RECT 203 49 203 61 2
RECT 156 152 156 168 2
